epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,10584.3,1.07828,0.92417,1.24438,0.77522,0.68746,0.73121,0.48692,1.16419,0.91771,1.10243,0.000296964,0.000296964,0.000296964
67,10732.3,1.0785,0.91606,1.24296,0.76231,0.68767,0.72594,0.48613,1.14286,0.90595,1.09798,0.000288718,0.000288718,0.000288718
68,10879.7,1.07132,0.91575,1.24102,0.76319,0.67884,0.72084,0.47368,1.16679,0.90857,1.0982,0.000280471,0.000280471,0.000280471
69,11027.9,1.0688,0.90632,1.23614,0.76987,0.66203,0.71335,0.47821,1.15308,0.9214,1.09711,0.000272224,0.000272224,0.000272224
70,11175.2,1.0715,0.90697,1.24115,0.74966,0.68227,0.72291,0.48677,1.13642,0.90078,1.09759,0.000263978,0.000263978,0.000263978
71,11321,1.06139,0.90582,1.23317,0.76867,0.67268,0.7237,0.4901,1.13932,0.89692,1.09744,0.000255731,0.000255731,0.000255731
72,11468.5,1.06084,0.89873,1.23279,0.76298,0.66861,0.71716,0.4806,1.1553,0.90649,1.09613,0.000247484,0.000247484,0.000247484
73,11616.8,1.05428,0.89128,1.23025,0.75907,0.69201,0.72176,0.48346,1.14468,0.90803,1.09279,0.000239238,0.000239238,0.000239238
74,11762.8,1.06217,0.89155,1.22841,0.78414,0.68307,0.71781,0.47743,1.14571,0.904,1.09495,0.000230991,0.000230991,0.000230991
75,11908.3,1.05099,0.87658,1.22077,0.75844,0.69237,0.7199,0.48276,1.14571,0.90221,1.09292,0.000222744,0.000222744,0.000222744
76,12055,1.06121,0.88841,1.22478,0.76437,0.69472,0.72369,0.48457,1.14618,0.9001,1.09279,0.000214497,0.000214497,0.000214497
77,12203.3,1.04884,0.88073,1.22259,0.77815,0.67388,0.72826,0.48396,1.13775,0.90436,1.08992,0.000206251,0.000206251,0.000206251
78,12352.4,1.04623,0.87058,1.21546,0.76052,0.68231,0.73231,0.48695,1.14068,0.89035,1.09619,0.000198004,0.000198004,0.000198004
79,12498.4,1.04071,0.86333,1.21736,0.76963,0.69269,0.72588,0.48073,1.13827,0.90146,1.08726,0.000189757,0.000189757,0.000189757
80,12644,1.04227,0.86088,1.20976,0.75593,0.69046,0.72924,0.48563,1.1348,0.88717,1.08571,0.000181511,0.000181511,0.000181511
